position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
0,0,0,0,0,0,0,-0.589481,0.594358,-1.202226,1.205445,-0.56879,0.577098,-0.100257,0.088556,-0.046019,0.035507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,-0.551429,0.554127,-1.188512,1.194358,-0.627813,0.633291,-0.111581,0.102988,-0.050816,0.042853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,-0.506131,0.505978,-1.168635,1.177334,-0.695054,0.697631,-0.124905,0.119902,-0.056348,0.051457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,-0.46727,0.464352,-1.147368,1.158537,-0.750996,0.751404,-0.136575,0.134549,-0.061093,0.058603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,-0.422856,0.416809,-1.117865,1.131386,-0.814091,0.812463,-0.150882,0.151972,-0.066657,0.066893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,-0.385938,0.377434,-1.087555,1.102542,-0.865893,0.862999,-0.163903,0.167355,-0.071445,0.073868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,-0.351006,0.339981,-1.052442,1.068841,-0.915798,0.911928,-0.178098,0.183162,-0.076411,0.080627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,-0.313081,0.300156,-1.00589,1.023056,-0.972139,0.967566,-0.196277,0.202649,-0.082405,0.088447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,-0.283416,0.269206,-0.959351,0.976809,-1.018043,1.013377,-0.213618,0.220151,-0.087796,0.09488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,-0.256544,0.241992,-0.907158,0.924224,-1.062174,1.057724,-0.23285,0.238965,-0.093553,0.101419,-0.005175,0.005185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
