position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
0,0,0,0,0,0,0,-1.535336,-1.523303,-0.194781,-0.212462,-1.520923,-1.511831,-0.086477,-0.071102,0.061615,0.057943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,-1.612393,-1.601877,-0.097656,-0.109648,-1.593188,-1.593727,-0.057516,-0.040046,0.088179,0.082327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,-1.71578,-1.706493,0.012926,0.007619,-1.663745,-1.675083,-0.027571,-0.007907,0.11837,0.110169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,-1.815304,-1.806075,0.10155,0.102122,-1.709382,-1.729294,-0.011051,0.010102,0.141317,0.131532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,-1.932246,-1.92213,0.195046,0.202024,-1.745952,-1.774515,-0.01088,0.01129,0.161364,0.150477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,-2.03421,-2.022098,0.263749,0.275916,-1.759957,-1.794278,-0.033129,-0.010858,0.170528,0.159541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,-2.132811,-2.11716,0.322356,0.339027,-1.758171,-1.79686,-0.083105,-0.061772,0.169309,0.159159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,-2.23701,-2.215817,0.378196,0.398187,-1.732615,-1.773844,-0.182959,-0.16413,0.152436,0.144778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,-2.32082,-2.29297,0.412699,0.434083,-1.686356,-1.727479,-0.311123,-0.295976,0.121816,0.117668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,-2.394874,-2.358807,0.433491,0.454537,-1.618876,-1.657779,-0.482231,-0.472162,0.07431,0.0751,0.036651,0.037743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,-2.463646,-2.416491,0.436225,0.454469,-1.5088,-1.543282,-0.718435,-0.715785,0.003013,0.010733,0.086409,0.089096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,-2.502182,-2.445466,0.414237,0.428886,-1.392906,-1.422229,-0.939534,-0.943718,-0.069843,-0.055641,0.127485,0.131574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
