position,,,,,,,Mic_07,Mic_08,Mic_09,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25,Mic_26,Mic_27,Mic_28,Mic_29,Mic_30,Mic_31,Mic_32,Mic_33,Mic_34,Mic_35,Mic_36,Mic_37,Mic_38,Mic_39,Mic_40,Mic_41,Mic_42,Mic_43,Mic_44,Mic_45,Mic_46,Mic_47,Mic_48
0,0,0,0,0,0,0,3.025531,2.972137,-4.336461,-4.299532,2.991612,2.957331,0.222623,0.180193,-0.190862,-0.179481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,3.226726,3.174134,-4.171881,-4.138297,2.244578,2.212543,0.923887,0.892945,0.398429,0.403843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,3.413194,3.361701,-3.979222,-3.949535,1.439251,1.409598,1.738169,1.720299,1.080247,1.078885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,3.606802,3.556215,-3.793387,-3.767574,0.730724,0.703153,2.385473,2.37801,1.629772,1.62296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,3.770699,3.721816,-3.561837,-3.540583,-0.023702,-0.049273,3.083352,3.086758,2.227095,2.214554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,3.922103,3.875125,-3.317954,-3.300804,-0.677258,-0.701065,3.584062,3.595159,2.670892,2.654074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,4.036696,3.992319,-3.034325,-3.021687,-1.292701,-1.314947,3.986733,4.00376,3.043944,3.023692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,4.075145,4.035195,-2.676323,-2.668697,-1.903791,-1.924834,4.329543,4.350871,3.384544,3.361571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,4.069765,4.034805,-2.296957,-2.293349,-2.392056,-2.411832,4.461957,4.484297,3.561338,3.5372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,3.990328,3.9618,-1.873016,-1.873171,-2.805952,-2.824748,4.44602,4.466711,3.630433,3.606361,0.077786,0.077295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
